GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000,United States,12370299,12924876,13543774,14096033,14230726,14472712,14877312,15449757,15987957,16433148,16762445,16781485,16349110,16789750,17052410,17442759,17812167,18261714,18799622,19141672,19612102,20193896,20692087,20234074,21407692,21822037,22376906
01000,Alabama,154700,160396.4,166531.8,168695.3,168448.3,172430.4,178040,189913.7,197246.5,199923.9,202025.5,200967.4,194192.1,199455,201372.8,203675.5,206962.9,206070,208950.3,212862.8,216615.5,220808.8,224944.6,222081.4,231892.6,235807.3,241753.1
02000,Alaska,41071,40263.7,39783.1,38428.1,40014.4,41904.7,41235,42880.1,44406.8,47546.2,50126.7,49926.6,54951.9,53652,54045.5,57087.4,54627.6,53303.3,53681.1,53463.9,53550.9,52479.6,52325.3,50344.6,51021.8,50315.1,53006.3
04000,Arizona,180293.9,197492.1,214293.9,224729.3,230885.6,238257.1,253743.1,264990,283806.2,296424.4,306611.6,302277.9,277412.4,282252.5,290411.3,297077.3,298859.9,301721.2,308582.8,319008.4,333099,346398.3,359645.7,362603.5,390805.2,403474.2,414273.3
05000,Arkansas,87180.3,89905.3,94756.9,95509.8,95528.7,98556.6,102948,108581.8,112451.1,114890.4,114026.7,113628,109833.1,113000.9,115241.8,116616.2,119842.8,121409.4,121532.5,123034.9,123882.6,126371.2,127216,128061.2,135568.8,137355.5,140784.7
06000,California,1441226.4,1538612.3,1655438.5,1784320.6,1784567.7,1821509.5,1895287.6,1956745.5,2042141,2120435.4,2168940.4,2192331.8,2110679.4,2153852.8,2192887.2,2255437.3,2340335.3,2428675.7,2545979.5,2623711.7,2740550.3,2850970.3,2962792.1,2925146.9,3146185.3,3167460.8,3233151
08000,Colorado,189445.6,206449.1,221040.8,238739.3,242650.1,243701.9,246017.4,250069.3,261992.9,268190.8,278733.8,281803.3,275659.1,279385.6,283963.8,289339.5,301484.1,315399,330526.1,337685.2,350209.1,365204.5,383596,380921.9,406961.5,416114.4,428040.4
09000,Connecticut,205965.2,212255,218860,233874.2,236338.1,234307.3,236719.1,252680.8,258203.7,269478.6,278485.4,277793.2,265530.8,266773.4,261555.8,263649.9,258911,260605.8,268869.8,268196.2,273875.1,274582.8,274219.4,258625,268846.7,276668.8,282478.5
10000,Delaware,51267,56487,60866.2,63388.8,65724.8,63702.5,64316.8,67735.5,66381.2,68411.8,68132.4,65771.3,69186.2,68291.9,71103.5,70562.4,68656.8,73961.7,76211.2,71941.4,69555.6,70856.4,74597.4,72550.3,74436.7,75172.6,74262.8
11000,District of Columbia,86535.2,88108.1,92096.8,92764.3,96185.3,99014.7,100969.4,106547.2,108884.1,108848.3,112287.6,116213.7,115646,120393.2,122636.4,123567.9,124094.8,126883.9,129110.2,132217.8,134298.8,138056.8,138867.4,137762.3,142676.3,144029.6,145493.3
