DATE,MEHOINUSA672N
1/1/1984,58930
1/1/1985,60050
1/1/1986,62280
1/1/1987,63060
1/1/1988,63530
1/1/1989,64610
1/1/1990,63830
1/1/1991,61960
1/1/1992,61450
1/1/1993,61150
1/1/1994,61800
1/1/1995,63770
1/1/1996,64710
1/1/1997,66050
1/1/1998,68470
1/1/1999,70210
1/1/2000,70020
1/1/2001,68870
1/1/2002,68310
1/1/2003,68350
1/1/2004,68250
1/1/2005,69310
1/1/2006,70080
1/1/2007,71210
1/1/2008,68780
1/1/2009,68340
1/1/2010,66730
1/1/2011,65750
1/1/2012,65740
1/1/2013,68220
1/1/2014,67360
1/1/2015,71000
1/1/2016,73520
1/1/2017,74810
1/1/2018,75790
1/1/2019,81210
1/1/2020,79560
1/1/2021,79260
1/1/2022,77540
1/1/2023,80610
