RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024
102001,0,United States,country,,200263,231896,257463,283461,296547,300130,282818,266867,257379,189529,215778,162904,176600,225595,239271,260164,308430,315687,287917,283878,298259,276828,258380,180215,190262,283094,302464,312434,343742,250225,252780,263036,229509,219186,245723,189120,191159,261758,263207,279158,312565,279302,302932,269800,249439,239035,257931,207384,222656,282793,289225,332614,347564,325183,350591,285246,315455,292168,292165,242224,242159,308939,344916,396394,388569,410561,406662,345109,345331,296020,306309,240861,237011,294500,334053,376390,400157,403387,384713,354942,367897,283606,328884,241267,251008,339820,368444,399555,464433,461524,419384,398446,377529,295965,355803,262531,277302,362518,387964,433220,488106,430901,458277,413386,380088,357626,367856,288045,281640,399713,386574,470433,515159,442556,475839,403050,398223,361892,353325,280933,278908,380147,401495,463931,491230,457873,475743,372389,398514,351560,318968,258423,275445,353749,399583,466353,450392,464893,458605,390335,403660,342222,357764,287278,288301,360281,312921,306569,427709,510439,491604,495803,506822,432630,464601,344552,340622,463771,489868,494880,579637,542616,534119,499946,476773,458685,459540,345215,334447,441561,439319,464680,482675,412149,428785,379953,332027,286113,272462,211294,232310,317884,294413,355881,379100,325284,354011,307261,295286,258258,246648,211949,234310,282773,318615,350767,326229,340368,332735
394913,1,"New York, NY",msa,NY,8416,8883,9809,10081,10685,13636,12201,10916,10431,8104,8729,6389,5656,6497,6871,7921,9386,11147,11574,11185,11313,13755,11588,8803,7015,18423,9475,9843,14040,12532,10239,,8640,8455,8722,7820,7541,8743,8703,9042,10973,10805,11223,9915,8813,8106,8798,8977,7362,8840,9018,10683,12451,12524,13492,10894,10376,9859,11341,10230,8718,9848,11008,13477,14049,16566,16996,14935,14699,12106,13377,11056,8812,10244,10649,12465,14173,15870,15647,14054,14687,11587,13980,10897,10012,11556,11717,12875,16808,18454,17857,16495,15988,13339,15645,12405,12156,13973,13503,14487,18713,17719,20293,18058,15971,15647,17060,15106,12921,15648,14589,17521,20576,18861,21911,18164,17840,16227,16596,14617,12540,14184,14950,16953,19621,19662,21185,15802,17864,15654,15234,13708,11298,13431,14219,16535,17504,19168,19369,16255,16829,14391,15702,14350,12070,12650,9952,10380,12803,15786,18326,19508,21993,19410,22573,19406,16615,20683,18848,18530,23493,23018,23880,21099,21636,19649,20798,18519,15228,18338,16448,17902,21234,19507,20758,16815,15084,14285,13202,11167,9771,12056,10748,12934,15121,13501,15506,13089,12858,11143,10675,10345,8916,10063,10993,12208,12446,13878,14512
753899,2,"Los Angeles, CA",msa,CA,4141,5044,6065,6868,7222,8227,7811,7786,8535,6496,7738,5974,6115,7825,8142,8544,9889,10223,9023,9117,9522,8180,9473,6530,6684,9195,9085,9949,10523,8744,8358,8306,7515,7300,8640,6658,6349,8896,8477,8346,9379,8396,9084,8472,7733,7849,8609,6949,7415,9818,9465,10632,10883,10210,11294,9015,10399,9565,10680,7659,7671,9983,10427,11566,10605,11476,11361,9363,9800,8294,8801,6799,6617,8393,9563,9749,9826,10040,9500,8808,9250,7352,8636,6401,6521,9431,10318,10304,11369,11489,10112,9840,9409,7212,9610,7058,6922,9340,9831,10414,11291,10221,10877,10099,9315,8997,9311,7275,6944,10144,9108,11034,12204,9992,11446,9823,9422,8678,8674,6842,6768,9759,9357,10332,10604,10005,10393,7934,8657,7594,7148,5689,6057,8067,9183,10141,9574,9905,10044,8780,9294,8089,8627,6861,6966,8316,6016,4965,7408,10193,10174,10791,10911,9622,10991,8178,7934,11519,12229,11283,12490,11626,11302,10902,10496,9993,10128,7306,7196,10348,9912,9420,9226,7506,7867,7255,6251,5413,5204,4192,4608,6659,6004,7140,7266,6190,6954,5737,5766,5119,4974,4401,4980,6101,6714,7119,6380,7027,7315
394463,3,"Chicago, IL",msa,IL,5570,6908,7230,7931,8781,8830,8174,7598,6622,4669,4951,3674,3681,4787,5244,6191,7971,8898,8523,8306,8848,8159,7063,4819,4701,6911,8160,8687,10467,6729,6669,6049,5545,5247,5893,4792,4287,6093,6339,7429,8706,7521,8362,7071,6739,6439,7118,5472,5464,7282,7642,9206,10230,9662,10681,8679,9610,8646,8359,7834,7031,8992,10637,12469,12957,14117,13942,11353,12198,9906,10356,8089,7479,9213,11025,12415,14154,14099,13036,12459,12599,9241,10493,7620,7477,10372,11835,13421,16677,16263,14849,13494,12919,9421,10947,8387,8378,10858,12793,14605,17428,15141,15816,13157,12044,10918,10974,8732,7705,12323,12630,15532,17842,14610,15387,12501,11478,10143,9804,7426,7001,10927,12751,15250,16596,14516,14619,11166,11827,10271,8890,6774,7052,10003,12367,14922,15125,15053,14335,11523,11617,9634,10351,7643,7586,10449,10240,9124,11855,15423,15474,15482,17041,14215,14122,11389,10920,14584,16252,16399,19856,18982,18315,15689,14066,13359,12481,9681,8530,12383,12704,13720,14908,12464,12098,10896,9063,8062,7221,5413,5633,8693,8447,10344,11497,9535,10380,8714,8369,7022,7129,5512,5765,7661,9277,10195,9768,10487,10850
394514,4,"Dallas, TX",msa,TX,4875,5519,5988,6679,6672,6556,6244,5473,4659,3458,4041,3008,3627,4564,4634,5214,5892,6161,5444,5082,5339,4751,4266,2871,3504,5219,6147,6353,5871,4390,4507,4038,3837,3634,3950,2830,3061,4604,4849,5324,5799,5196,5711,4651,4115,4040,4290,3291,3917,5157,5520,6622,6773,6490,6933,5200,5474,4904,4975,4125,4647,6610,7274,8251,7968,8404,8237,6577,6156,5168,5516,4108,4842,6212,6861,7917,8405,8332,8017,6865,6798,5167,6164,4168,4889,6695,6984,8076,9141,9142,8677,7621,6904,5629,7028,4874,5761,7473,7729,8406,9189,8542,9147,8029,7160,6781,7002,5057,5710,7866,7725,9356,9846,8796,9225,7655,7247,6917,6886,5260,6027,7677,7913,9379,9359,9132,9011,7032,6896,6162,6146,4431,5726,7375,8125,9269,8397,9151,8738,7133,7199,6037,6945,5180,5994,7303,6218,6318,9297,11015,9682,9159,9039,7647,8203,5503,5651,7716,8716,9105,10176,9916,9966,9266,8548,8199,8078,5957,6082,7960,8116,8875,8923,8010,8344,7200,6163,5087,4967,3739,5170,6675,6353,7750,7666,6745,6928,5634,5240,4625,4706,4207,5137,6144,6969,7458,6465,6758,6677
394692,5,"Houston, TX",msa,TX,4112,4688,4948,5564,5707,5534,5132,3273,3795,2879,3742,2581,3101,3832,3818,4265,5060,5233,4495,4311,4371,4091,3876,2279,2961,4353,4853,5199,5005,3881,3811,3302,3018,2691,3347,2480,2690,3914,4188,4557,5061,4578,4685,3709,3341,3077,3707,2582,3064,4032,4359,5317,5446,5222,4610,3741,4714,4248,4397,3540,4032,5064,5800,6818,6407,6980,6858,5638,5243,4207,4848,3508,3304,3056,3508,4075,4566,7402,6954,6213,6187,4704,5863,3902,4238,5664,5945,6394,7438,7197,6369,6315,5617,4317,5725,4002,4607,6131,6181,6985,7624,6922,7631,6260,5648,5349,6015,4163,5080,6734,6341,7712,8117,7157,5905,6456,6063,5726,6212,4573,5289,6497,6795,7860,8252,7735,8012,6240,6360,5660,5782,3970,5006,6546,7109,8088,7508,8137,7847,6243,6254,5533,6439,4324,5240,6476,5222,5395,7972,9581,8208,8112,8085,6963,8370,5439,5249,8297,8566,8942,10163,9759,9527,8791,8046,7552,8328,5898,6534,8583,8176,8856,8757,7454,7422,6520,5571,4595,4661,3614,4301,6112,5831,6971,7101,,,,,4141,4127,3615,4304,5151,5844,6054,5500,5629,5404
395209,6,"Washington, DC",msa,VA,4120,5011,5731,6210,7151,6725,6395,6453,6149,4741,5611,3972,4387,5751,6165,6590,7826,7368,6732,6439,6502,6194,5695,4648,4331,6490,7003,7425,8621,5845,7172,5650,5270,5135,5512,4278,4307,6187,6086,6506,7671,6336,6300,5448,4945,4903,5223,4124,4440,5478,6077,7359,7697,6741,7002,5460,5769,6210,5544,4751,4675,6017,7008,8451,8917,8289,7938,6440,6576,5368,6131,4307,4514,5529,6566,7542,8461,7809,7290,6349,6568,5205,6444,4610,4715,6390,7411,8169,9945,9169,8031,7312,7054,5898,7352,5038,5427,7047,8148,9590,10791,9141,9248,7750,7503,7275,7355,6009,6023,8402,8692,10358,11355,9271,9178,7712,7874,7106,6706,5484,5374,7344,8352,9824,10484,9195,8768,6604,7419,6953,6464,5346,5357,7334,8686,10292,9858,9455,8770,7390,7926,6612,7152,5635,5727,7663,7299,6960,9084,10196,9975,10085,10347,8961,9282,6756,7327,9611,11291,11599,13277,11804,11237,10048,10004,9844,9150,6340,6614,9209,9599,10240,10085,8138,8011,6982,6173,5253,4977,3712,4561,6062,6068,7451,7648,6130,6405,5279,5147,4651,4266,3660,4337,5216,6407,7194,6714,6681,6477
394974,7,"Philadelphia, PA",msa,PA,4103,4906,5651,5710,6388,6970,6154,6508,5711,4001,4467,3245,3171,4013,4289,4828,6137,6354,6069,5516,5934,6345,4785,3411,3178,4965,5559,6294,7754,4833,4591,4172,3992,3805,4367,3320,3048,4191,4273,4770,5697,4938,5277,4381,4270,4147,4395,3726,3536,4683,4846,5631,6273,5910,6278,4911,5078,5502,5015,4493,3893,5024,5852,6852,7414,7385,7144,5915,5995,5094,5506,4248,3568,4530,5345,6372,7499,7230,6923,6036,6295,5296,6260,4657,4444,5570,6330,7154,9066,9277,8201,7308,7129,5742,7007,5242,5221,6403,7142,8363,10373,8452,9030,7683,7362,7262,7352,6180,5443,7644,7694,9296,10834,9484,9730,8124,8038,7609,7340,5977,4890,6906,7708,8995,10742,9757,9610,7607,8138,7659,7085,5717,5321,7074,7885,9336,9637,9204,9021,7706,7553,6609,7165,6030,5286,6837,5749,5009,6569,9517,9707,9711,10409,8955,9585,7281,6676,8646,9210,9268,11985,10939,11470,10916,9893,9647,12446,9526,7476,9184,8777,9049,10245,8715,9086,7708,6780,6174,5848,4574,4424,6136,5845,6665,7652,6479,7054,6059,5823,5579,5316,4323,4250,5194,6009,6647,6801,6931,6989
394856,8,"Miami, FL",msa,FL,3951,4570,5113,5157,5380,5048,4677,4602,4916,3908,5329,4283,4609,5862,6143,6242,7028,6957,6429,6664,7273,6535,7459,6003,5952,8481,8420,7839,8931,7598,7393,7204,6719,6649,8481,7465,7412,9994,9803,9470,9596,8558,9148,8476,7449,7608,8631,7094,7561,9559,9705,10158,9709,9126,9727,7996,9309,8857,9778,8298,8331,10282,11402,11776,10882,11223,10664,9631,10067,8836,9983,8336,8160,10256,11218,10999,10801,10648,9928,9862,10630,8525,10792,8122,8579,11140,11607,11147,12085,11995,10424,10488,10154,8396,10586,7842,8470,10881,10878,11091,11914,10105,10800,9879,8810,8782,9857,7881,8098,11401,10370,11738,11794,10029,10798,7167,8766,8220,9259,7841,7841,10573,10587,10808,10926,9824,10057,8119,8849,8147,7924,6659,7051,9471,10687,11454,10013,10808,9928,8926,9157,8049,9725,7950,7745,10074,7145,5552,8180,10735,10775,10695,11726,10276,12715,9788,10397,14972,15678,14651,16254,14569,13434,12252,11880,11625,12995,10552,10709,14490,13857,12982,12262,9807,9855,8448,7950,7039,7213,5657,6517,9825,8594,9870,9509,7862,8549,7606,7320,6344,6554,5480,6267,7871,8773,8893,7610,7752,7349
394347,9,"Atlanta, GA",msa,GA,5740,6216,6447,6712,7022,7058,6348,6459,5906,4370,5410,4392,4615,5929,5802,5762,7151,7086,6359,6053,6383,6172,6056,4154,4773,6483,6711,6804,7403,5660,5588,6565,6948,6279,5673,4024,4422,6179,6048,6563,7319,6828,7772,7188,6733,6125,6762,6125,6530,7666,7381,8317,9243,8207,8791,7080,7844,7152,6698,6572,6358,7670,8080,9176,8757,9154,8796,7477,7515,6580,6671,5821,6088,7358,7901,8959,9258,9016,8624,7903,8002,6272,7219,5763,6070,8416,9035,9455,10391,10287,9496,8743,7864,6448,8133,6140,7055,9430,9880,10961,11793,10524,10948,9673,8862,8314,8883,6429,7163,10768,9691,12022,12655,10870,11456,9506,9403,8940,8831,6744,7766,10438,10755,12338,12372,11604,12471,9401,9985,9000,8178,6543,7804,10409,10945,12430,11647,11916,11508,9734,10141,8556,9374,7302,8352,9717,7944,7713,11146,12262,11873,11685,12079,10028,11452,8131,8978,12649,13063,13075,15058,14379,13555,11625,10762,12057,11274,8779,9860,12722,12067,12527,12417,10368,10318,9105,7830,6339,6469,4773,5943,8275,7485,8611,8621,7342,8140,6976,6553,5775,5892,5016,5776,7157,7836,8488,7146,7917,6989
