,,State,Out (18-19),In (18-19),Out (19-20),In (19-20),Out (20-21),In (20-21),Out (21-22),In (21-22)
00,US,Total [6],"6,291,178","6,314,737","6,936,136","6,955,187","7,020,935","7,037,026","6,935,681","6,951,666"
01,AL,Alabama,"84,579","93,331","89,017","106,352","86,001","107,903","84,538","106,884"
02,AK,Alaska,"33,692","26,195","35,170","28,321","32,852","28,654","32,210","27,334"
04,AZ,Arizona,"152,769","218,736","167,494","247,311","183,111","239,925","186,286","223,000"
05,AR,Arkansas,"57,380","59,600","60,038","69,622","56,869","72,828","56,989","71,470"
06,CA,California,"578,664","413,309","677,113","418,678","724,120","392,876","700,947","398,404"
08,CO,Colorado,"169,145","188,033","192,611","203,886","201,874","198,559","200,482","198,015"
09,CT,Connecticut,"79,769","67,937","86,184","83,060","86,150","86,605","87,574","81,384"
10,DE,Delaware,"26,676","33,006","28,024","37,785","28,483","39,321","28,910","38,305"
11,DC,District of Columbia,"45,106","38,403","53,384","38,080","52,384","36,211","46,861","38,728"
12,FL,Florida,"431,307","558,096","459,543","627,077","449,260","708,535","456,796","701,126"
13,GA,Georgia,"218,625","254,258","237,908","275,400","228,240","283,732","229,313","280,516"
15,HI,Hawaii,"57,263","48,269","60,666","51,857","60,636","49,831","57,107","48,924"
16,ID,Idaho,"44,773","67,627","50,484","86,822","54,156","86,663","55,563","75,661"
17,IL,Illinois,"245,370","163,600","271,829","171,796","272,693","167,036","260,970","174,277"
18,IN,Indiana,"111,505","115,836","119,496","128,003","116,986","128,454","117,137","123,500"
19,IA,Iowa,"58,662","53,281","63,124","59,999","61,991","58,819","61,656","56,701"
20,KS,Kansas,"79,373","68,957","83,168","76,963","79,487","75,676","77,406","72,663"
21,KY,Kentucky,"81,992","80,903","86,068","91,596","85,080","91,459","80,710","89,113"
22,LA,Louisiana,"84,129","65,232","90,775","70,260","93,610","65,166","90,491","64,763"
23,ME,Maine,"22,963","28,342","23,754","35,034","24,451","36,756","25,415","34,310"
24,MD,Maryland,"156,732","140,840","170,123","150,566","167,679","143,913","163,752","137,555"
25,MA,Massachusetts,"133,075","107,241","148,638","111,808","154,968","110,224","157,315","112,138"
26,MI,Michigan,"126,319","112,703","134,634","127,921","130,825","125,670","133,951","120,984"
27,MN,Minnesota,"87,101","82,604","97,226","86,059","98,991","83,068","96,748","83,286"
28,MS,Mississippi,"60,833","52,820","63,459","59,413","60,873","58,300","58,144","57,478"
29,MO,Missouri,"117,321","117,840","126,177","135,160","122,775","133,953","121,348","130,148"
30,MT,Montana,"27,102","32,512","28,221","40,346","28,220","43,105","29,504","39,817"
31,NE,Nebraska,"41,822","37,230","44,758","40,560","43,461","39,535","40,941","39,097"
32,NV,Nevada,"90,639","121,694","102,378","130,482","108,657","127,596","106,894","121,505"
33,NH,New Hampshire,"35,593","40,034","37,610","47,678","37,677","47,574","37,993","44,286"
34,NJ,New Jersey,"190,799","164,271","207,766","184,825","211,224","185,810","215,766","178,824"
35,NM,New Mexico,"54,841","54,859","58,362","60,091","58,681","55,495","56,121","54,939"
36,NY,New York,"385,847","233,144","474,887","228,844","491,085","226,468","472,554","251,460"
37,NC,North Carolina,"221,982","270,416","235,552","304,066","234,389","312,948","229,810","312,680"
38,ND,North Dakota,"26,940","24,561","30,725","25,341","29,519","23,296","25,659","23,092"
39,OH,Ohio,"161,563","150,601","172,137","164,209","171,032","162,812","166,473","160,472"
40,OK,Oklahoma,"73,929","77,814","77,711","92,190","73,646","95,579","72,095","92,686"
41,OR,Oregon,"93,494","108,522","103,863","115,481","118,391","108,681","113,251","106,365"
42,PA,Pennsylvania,"198,391","185,787","211,909","207,143","219,845","205,129","223,444","201,920"
44,RI,Rhode Island,"26,483","24,658","28,416","28,538","28,886","27,911","30,210","27,314"
45,SC,South Carolina,"111,270","152,713","120,931","174,757","121,683","186,811","118,231","188,335"
46,SD,South Dakota,"22,902","23,278","24,977","27,600","23,384","29,886","23,122","30,126"
47,TN,Tennessee,"141,689","175,692","156,092","201,161","154,055","217,455","155,644","216,084"
48,TX,Texas,"398,960","513,154","433,030","568,588","428,878","608,629","434,094","615,997"
49,UT,Utah,"69,790","75,988","76,993","94,058","79,060","92,642","83,090","83,362"
50,VT,Vermont,"16,154","14,859","16,161","19,230","16,384","19,434","16,975","18,329"
51,VA,Virginia,"237,729","234,126","260,078","252,587","255,047","247,085","245,827","241,173"
53,WA,Washington,"175,868","205,591","203,015","212,385","222,542","208,543","222,762","205,196"
54,WV,West Virginia,"35,809","30,554","36,839","36,542","34,940","37,189","33,868","35,841"
55,WI,Wisconsin,"85,184","83,971","93,536","94,119","92,513","92,067","90,924","91,822"
56,WY,Wyoming,"21,275","21,709","24,082","25,537","23,191","25,209","21,810","24,277"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
